#===========================++++AD_MAGNUS CUDA Version 3.0====++++++========================================================================
#=================================== DATA OF SIMULATION =====================================================================================
#==============================================================================================================--------------------------
#   Step	Real_time            E_Zee(fJ)   		 E_Anis(fJ)		E_DM(fJ)	   	E_Dip(fJ)         	E_Ex(fJ)            E_Total(fJ)          Average Mag. 
       0 0.000000000000000e+00 -0.000000000000000e+00 -0.000000000000000e+00 -0.000000000000000e+00 -2.402629745052138e-18 -1.283750000000000e+00 -1.283750000000000e+00 1.000000000000000e+00
    1000 1.089121186311270e-11 -2.018831713589366e-03 -0.000000000000000e+00 -0.000000000000000e+00 -1.210826304474623e-03 -1.283693063674176e+00 -1.286922721692240e+00 1.000000000000000e+00
    2000 2.178242372622540e-11 1.584283478207798e-04 -0.000000000000000e+00 0.000000000000000e+00 -4.509953642159516e-03 -1.283623167217327e+00 -1.287974692511665e+00 1.000000000000000e+00
    3000 3.267363558933810e-11 2.132668597921213e-03 -0.000000000000000e+00 0.000000000000000e+00 -7.417432222543477e-03 -1.283543107616818e+00 -1.288827871241440e+00 1.000000000000000e+00
    4000 4.356484745245080e-11 2.467943512976861e-03 -0.000000000000000e+00 0.000000000000000e+00 -8.562663095369556e-03 -1.283535997306216e+00 -1.289630716888609e+00 1.000000000000000e+00
    5000 5.445605931556350e-11 1.027262581174027e-03 -0.000000000000000e+00 -0.000000000000000e+00 -7.921601363817523e-03 -1.283531571162953e+00 -1.290425909945597e+00 1.000000000000000e+00
    6000 6.534727117867620e-11 -1.174828461951279e-03 -0.000000000000000e+00 0.000000000000000e+00 -6.596965910230981e-03 -1.283475702052334e+00 -1.291247496424516e+00 1.000000000000000e+00
    7000 7.623848304178889e-11 -2.486920386719865e-03 -0.000000000000000e+00 -0.000000000000000e+00 -6.336082586195029e-03 -1.283360772678961e+00 -1.292183775651876e+00 1.000000000000000e+00
    8000 8.712969490490159e-11 -1.730577306411925e-03 -0.000000000000000e+00 0.000000000000000e+00 -8.005739664610264e-03 -1.283397010331817e+00 -1.293133327302840e+00 1.000000000000000e+00
    9000 9.802090676801429e-11 2.109488593951699e-04 -0.000000000000000e+00 0.000000000000000e+00 -1.078360448922628e-02 -1.283306709805685e+00 -1.293879365435516e+00 1.000000000000000e+00
   10000 1.089121186311270e-10 1.907944978863252e-03 -0.000000000000000e+00 -0.000000000000000e+00 -1.307387868031878e-02 -1.283303738973520e+00 -1.294469672674976e+00 1.000000000000000e+00
   11000 1.198033304942397e-10 2.703212995100245e-03 -0.000000000000000e+00 -0.000000000000000e+00 -1.426589333393061e-02 -1.283442518405658e+00 -1.295005198744488e+00 1.000000000000000e+00
   12000 1.306945423573524e-10 2.353773017591911e-03 -0.000000000000000e+00 -0.000000000000000e+00 -1.453968978425706e-02 -1.283341233558422e+00 -1.295527150325087e+00 1.000000000000000e+00
   13000 1.415857542204651e-10 1.076827629985929e-03 -0.000000000000000e+00 -0.000000000000000e+00 -1.366018442506770e-02 -1.283446149845827e+00 -1.296029506640908e+00 1.000000000000000e+00
   14000 1.524769660835778e-10 -6.794602710326276e-04 -0.000000000000000e+00 0.000000000000000e+00 -1.245214468361786e-02 -1.283429038167319e+00 -1.296560643121969e+00 1.000000000000000e+00
   15000 1.633681779466905e-10 -2.192733806120833e-03 -0.000000000000000e+00 0.000000000000000e+00 -1.167268286240123e-02 -1.283306406583224e+00 -1.297171823251746e+00 1.000000000000000e+00
   16000 1.742593898098032e-10 -2.593498285355374e-03 -0.000000000000000e+00 0.000000000000000e+00 -1.205798560416929e-02 -1.283214960145594e+00 -1.297866444035119e+00 1.000000000000000e+00
   17000 1.851506016729159e-10 -1.653236978436850e-03 -0.000000000000000e+00 -0.000000000000000e+00 -1.354730120980989e-02 -1.283316603540592e+00 -1.298517141728839e+00 1.000000000000000e+00
   18000 1.960418135360286e-10 -1.688287402376944e-04 -0.000000000000000e+00 0.000000000000000e+00 -1.564518081664857e-02 -1.283179618571137e+00 -1.298993628128023e+00 1.000000000000000e+00
   19000 2.069330253991413e-10 1.084521899914076e-03 -0.000000000000000e+00 0.000000000000000e+00 -1.744970383604634e-02 -1.282940269991577e+00 -1.299305451927709e+00 1.000000000000000e+00
   20000 2.178242372622540e-10 1.974255211549488e-03 -0.000000000000000e+00 0.000000000000000e+00 -1.821058648399719e-02 -1.283296836612450e+00 -1.299533167884897e+00 1.000000000000000e+00
   21000 2.287154491253667e-10 2.507252524861006e-03 -0.000000000000000e+00 0.000000000000000e+00 -1.937652920176486e-02 -1.282882805044446e+00 -1.299752081721349e+00 1.000000000000000e+00
   22000 2.396066609884794e-10 2.762008084549080e-03 -0.000000000000000e+00 0.000000000000000e+00 -1.981807553557924e-02 -1.282884218395389e+00 -1.299940285846420e+00 1.000000000000000e+00
   23000 2.504978728515921e-10 2.752630713960190e-03 -0.000000000000000e+00 0.000000000000000e+00 -1.987516949770803e-02 -1.283026423008780e+00 -1.300148961792528e+00 1.000000000000000e+00
   24000 2.613890847147048e-10 2.482802609076261e-03 -0.000000000000000e+00 0.000000000000000e+00 -2.003602860676599e-02 -1.282769951183674e+00 -1.300323177181364e+00 1.000000000000000e+00
   25000 2.722802965778175e-10 2.051210420677669e-03 -0.000000000000000e+00 0.000000000000000e+00 -1.940288099037630e-02 -1.283153232829825e+00 -1.300504903399524e+00 1.000000000000000e+00
   26000 2.831715084409302e-10 1.442750102851311e-03 -0.000000000000000e+00 0.000000000000000e+00 -1.930466914257873e-02 -1.282819596387488e+00 -1.300681515427215e+00 1.000000000000000e+00
