#=========================== AD_MAGNUS CUDA Version 3.0====++++++========================================================================
#=================================== EXPECTED VALUES OF THE COMPONENTS OF MAGNETIZATION VECTOR FIELD M=====================================
#==============================================================================================================----------------------------
#Step			Real_time   			Mx 				My		      	Mz			  
       0 	 	 0.000000000000000e+00 	  9.662758329994507e-01  	 1.306244078638689e-01 	 -1.362120019300000e-09
     100 	 	 1.089121186311270e-12 	  9.662319990932797e-01  	 1.307744104925731e-01 	 -1.409795144192381e-03
     200 	 	 2.178242372622540e-12 	  9.661156305275858e-01  	 1.311717147783969e-01 	 -2.814038205920592e-03
     300 	 	 3.267363558933810e-12 	  9.659266604287592e-01  	 1.318151084246486e-01 	 -4.212588473364447e-03
     400 	 	 4.356484745245080e-12 	  9.656647839739774e-01  	 1.327032560742744e-01 	 -5.605287157243004e-03
     500 	 	 5.445605931556349e-12 	  9.653294634490776e-01  	 1.338347002714201e-01 	 -6.991964066815798e-03
     600 	 	 6.534727117867620e-12 	  9.649199349650153e-01  	 1.352078599227985e-01 	 -8.372439547871974e-03
     700 	 	 7.623848304178889e-12 	  9.644352158565099e-01  	 1.368210283284573e-01 	 -9.746525142261526e-03
     800 	 	 8.712969490490160e-12 	  9.638741127246667e-01  	 1.386723709228744e-01 	 -1.111402356903694e-02
     900 	 	 9.802090676801430e-12 	  9.632352301018767e-01  	 1.407599228122045e-01 	 -1.247472841124516e-02
    1000 	 	 1.089121186311270e-11 	  9.625169796805377e-01  	 1.430815862598845e-01 	 -1.382842365364498e-02
    1100 	 	 1.198033304942397e-11 	  9.617175901347935e-01  	 1.456351281007253e-01 	 -1.517488314436709e-02
    1200 	 	 1.306945423573524e-11 	  9.608351175217739e-01  	 1.484181771335656e-01 	 -1.651387009335009e-02
    1300 	 	 1.415857542204651e-11 	  9.598674562216373e-01  	 1.514282215894465e-01 	 -1.784513665258511e-02
    1400 	 	 1.524769660835778e-11 	  9.588123504097235e-01  	 1.546626067005214e-01 	 -1.916842361020236e-02
    1500 	 	 1.633681779466905e-11 	  9.576674060215437e-01  	 1.581185324438577e-01 	 -2.048346025623136e-02
    1600 	 	 1.742593898098032e-11 	  9.564301031569088e-01  	 1.617930515436749e-01 	 -2.178996443837000e-02
    1700 	 	 1.851506016729159e-11 	  9.550978088844162e-01  	 1.656830677781190e-01 	 -2.308764283190344e-02
    1800 	 	 1.960418135360286e-11 	  9.536677903857482e-01  	 1.697853346837596e-01 	 -2.437619145384496e-02
    1900 	 	 2.069330253991413e-11 	  9.521372283635967e-01  	 1.740964547228380e-01 	 -2.565529642159163e-02
    2000 	 	 2.178242372622540e-11 	  9.505032306376308e-01  	 1.786128789473762e-01 	 -2.692463497023778e-02
