#===========================++++AD_MAGNUS CUDA Version 3.0====++++++========================================================================
#=================================== DATA OF SIMULATION =====================================================================================
#==============================================================================================================--------------------------
#   Step	Real_time            E_Zee(fJ)   		 E_Anis(fJ)		E_DM(fJ)	   	E_Dip(fJ)         	E_Ex(fJ)            E_Total(fJ)          Average Mag. 
       0 0.000000000000000e+00 -0.000000000000000e+00 -0.000000000000000e+00 -0.000000000000000e+00 -2.221936994000760e-02 -1.283676908967443e+00 -1.305896278907451e+00 1.000000000000000e+00
     100 1.089121186311270e-12 2.900872151572077e-03 -0.000000000000000e+00 0.000000000000000e+00 -2.221924605409372e-02 -1.283676854995601e+00 -1.302995228898122e+00 1.000000000000000e+00
     200 2.178242372622540e-12 2.900300767178939e-03 -0.000000000000000e+00 -0.000000000000000e+00 -2.221885718144530e-02 -1.283676712665361e+00 -1.302995269079627e+00 1.000000000000000e+00
     300 3.267363558933810e-12 2.899373860040186e-03 -0.000000000000000e+00 0.000000000000000e+00 -2.221820770067636e-02 -1.283676480632661e+00 -1.302995314473297e+00 1.000000000000000e+00
     400 4.356484745245080e-12 2.898091210580057e-03 -0.000000000000000e+00 0.000000000000000e+00 -2.221730025932639e-02 -1.283676158580150e+00 -1.302995367628896e+00 1.000000000000000e+00
     500 5.445605931556349e-12 2.896451948710026e-03 -0.000000000000000e+00 0.000000000000000e+00 -2.221613633739020e-02 -1.283675746669273e+00 -1.302995431057953e+00 1.000000000000000e+00
     600 6.534727117867620e-12 2.894454575308918e-03 -0.000000000000000e+00 -0.000000000000000e+00 -2.221471646474661e-02 -1.283675245344072e+00 -1.302995507233509e+00 1.000000000000000e+00
     700 7.623848304178889e-12 2.892096986032223e-03 -0.000000000000000e+00 -0.000000000000000e+00 -2.221304031549265e-02 -1.283674655259939e+00 -1.302995598589400e+00 1.000000000000000e+00
     800 8.712969490490160e-12 2.889376497257304e-03 -0.000000000000000e+00 -0.000000000000000e+00 -2.221110677441020e-02 -1.283673977241997e+00 -1.302995707519150e+00 1.000000000000000e+00
     900 9.802090676801430e-12 2.886289874051712e-03 -0.000000000000000e+00 -0.000000000000000e+00 -2.220891399497701e-02 -1.283673212253653e+00 -1.302995836374579e+00 1.000000000000000e+00
    1000 1.089121186311270e-11 2.882833359902967e-03 -0.000000000000000e+00 -0.000000000000000e+00 -2.220645943632049e-02 -1.283672361387714e+00 -1.302995987464131e+00 1.000000000000000e+00
    1100 1.198033304942397e-11 2.879002708310350e-03 -0.000000000000000e+00 -0.000000000000000e+00 -2.220373989910283e-02 -1.283671425860172e+00 -1.302996163050965e+00 1.000000000000000e+00
    1200 1.306945423573524e-11 2.874793216170163e-03 -0.000000000000000e+00 -0.000000000000000e+00 -2.220075156113289e-02 -1.283670407005851e+00 -1.302996365350814e+00 1.000000000000000e+00
    1300 1.415857542204651e-11 2.870199758777208e-03 -0.000000000000000e+00 -0.000000000000000e+00 -2.219749000660045e-02 -1.283669306281826e+00 -1.302996596529649e+00 1.000000000000000e+00
    1400 1.524769660835778e-11 2.865216826408371e-03 -0.000000000000000e+00 -0.000000000000000e+00 -2.219395025852835e-02 -1.283668125269047e+00 -1.302996858701168e+00 1.000000000000000e+00
    1500 1.633681779466905e-11 2.859838562327674e-03 -0.000000000000000e+00 0.000000000000000e+00 -2.219012681132360e-02 -1.283666865675101e+00 -1.302997153924097e+00 1.000000000000000e+00
    1600 1.742593898098032e-11 2.854058802002771e-03 -0.000000000000000e+00 0.000000000000000e+00 -2.218601366257087e-02 -1.283665529338870e+00 -1.302997484199438e+00 1.000000000000000e+00
    1700 1.851506016729159e-11 2.847871113388842e-03 -0.000000000000000e+00 0.000000000000000e+00 -2.218160435176402e-02 -1.283664118229167e+00 -1.302997851467543e+00 1.000000000000000e+00
    1800 1.960418135360286e-11 2.841268838043657e-03 -0.000000000000000e+00 0.000000000000000e+00 -2.217689199470601e-02 -1.283662634448420e+00 -1.302998257605082e+00 1.000000000000000e+00
    1900 2.069330253991413e-11 2.834245132804536e-03 -0.000000000000000e+00 0.000000000000000e+00 -2.217186931819429e-02 -1.283661080236763e+00 -1.302998704422153e+00 1.000000000000000e+00
    2000 2.178242372622540e-11 2.826793011776501e-03 -0.000000000000000e+00 -0.000000000000000e+00 -2.216652870563267e-02 -1.283659457965573e+00 -1.302999193659430e+00 1.000000000000000e+00
    2100 2.287154491253667e-11 2.818905388350871e-03 -0.000000000000000e+00 -0.000000000000000e+00 -2.216086224065552e-02 -1.283657770132926e+00 -1.302999726985231e+00 1.000000000000000e+00
    2200 2.396066609884794e-11 2.810575116830695e-03 -0.000000000000000e+00 0.000000000000000e+00 -2.215486176341419e-02 -1.283656019346035e+00 -1.303000305992619e+00 1.000000000000000e+00
    2300 2.504978728515921e-11 2.801795033578326e-03 -0.000000000000000e+00 0.000000000000000e+00 -2.214851896855069e-02 -1.283654208261750e+00 -1.303000932196722e+00 1.000000000000000e+00
    2400 2.613890847147048e-11 2.792557998583440e-03 -0.000000000000000e+00 0.000000000000000e+00 -2.214182522056638e-02 -1.283652339810237e+00 -1.303001607032220e+00 1.000000000000000e+00
    2500 2.722802965778175e-11 2.782856932681236e-03 -0.000000000000000e+00 0.000000000000000e+00 -2.213477160419863e-02 -1.283650417180060e+00 -1.303002331851577e+00 1.000000000000000e+00
    2600 2.831715084409302e-11 2.772684849793411e-03 -0.000000000000000e+00 0.000000000000000e+00 -2.212735014410452e-02 -1.283648442629945e+00 -1.303003107924256e+00 1.000000000000000e+00
